銘柄コード,銘柄名称,銘柄略称
1301,極洋,極洋
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,ｉＦＴＰＸ年１
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,ＮＦＴＯＰＩＸ
1308,上場インデックスファンドＴＯＰＩＸ,上場ＴＰＸ
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ＮＦ中国株上証５０
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,ＮＦＴＰＸ３０
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,ＮＦ日経３００
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,ｉＦ２２５年１
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,ＮＦ日経２２５
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,上場パンタ
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ＮＦブラジル株
1326,ＳＰＤＲゴールド・シェア,ＳＰＤＲゴール
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,ＮＦ金価格
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ｉＳ２２５
1330,上場インデックスファンド２２５,上場２２５
1332,ニッスイ,ニッスイ
1333,Ｕｍｉｏｓ,Ｕｍｉｏｓ
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,ＮＦＪ－ＲＥＩＴ
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,上場Ｊリート
1346,ＭＡＸＩＳ　日経２２５上場投信,ＭＸＳ２２５
1348,ＭＡＸＩＳ　トピックス上場投信,ＭＸＳトピクス
1349,ＡＢＦ汎アジア債券インデックス・ファンド,アジア債券
1356,ＴＯＰＩＸベア２倍上場投信,ＴＰダブルインバース
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,ＮＦ日経ダブインバ
1358,上場インデックスファンド日経レバレッジ指数,上場日経２倍
1360,日経平均ベア２倍上場投信,ダブルインバース日経
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,ｉＳＪＰＸ日経４００
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,ｉＦ２２５ダブル
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,ｉＦ２２５Ｗベア
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,ｉＦＴＰＸダブル
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,ｉＦＴＰＸＷベア
1369,Ｏｎｅ　ＥＴＦ　日経２２５,Ｏｎｅ・日経２２５
1375,ユキグニファクトリー,ユキグニファクトリー
1376,カネコ種苗,カネコ種苗
1377,サカタのタネ,サカタのタネ
1379,ホクト,ホクト
1380,秋川牧園,秋川牧園
1381,アクシーズ,アクシーズ
1382,ホーブ,ホーブ
1383,ベルグアース,ベルグアース
1384,ホクリヨウ,ホクリヨウ
1397,ＳＭＤＡＭ　日経２２５上場投信,ＳＭＤＡＭ　２２５
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,ＳＭＤＡＭ　Ｊリート
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,上場高配当低ボラ
1401,エムビーエス,Ｇ－エムビーエス
1407,ウエストホールディングス,ウエストＨＤ
1414,ショーボンドホールディングス,ショーボンド
1417,ミライト・ワン,ミライト・ワン
1418,インターライフホールディングス,インターライフ
1419,タマホーム,タマホーム
1420,サンヨーホームズ,サンヨーＨ
1429,日本アクア,日本アクア
1430,ファーストコーポレーション,ファーストコーポ
1431,Ｌｉｂ　Ｗｏｒｋ,Ｇ－リブワーク
1432,動力,Ｐ－動力
1433,ベステラ,ベステラ
1434,ＪＥＳＣＯホールディングス,ＪＥＳＣＯ　ＨＤ
1435,ｒｏｂｏｔ　ｈｏｍｅ,ｒｏｂｏｔ　ｈｏｍｅ
1436,グリーンエナジー＆カンパニー,Ｇ－グリーンエナジー
1438,岐阜造園,岐阜造園
1443,技研ホールディングス,技研ホールディングス
1444,ニッソウ,Ｇ－ニッソウ
1445,ひかりホールディングス,Ｐ－ひかりＨＤ
1446,キャンディル,キャンディル
1447,ＳＡＡＦホールディングス,Ｇ－ＳＡＡＦＨＤ
1450,ＴＡＮＡＫＥＮ,ＴＡＮＡＫＥＮ
1452,横浜ライト工業,Ｐ－横浜ライト工業
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,ｉＦ２２５ベア
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,ｉＦＴＰＸベア
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,楽天２２５ダブルブル
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,楽天２２５ダブルベア
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,ｉＦＪ４００Ｗベア
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,４００ベア２倍
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ＮＦＪ４００Ｄインバ
1473,Ｏｎｅ　ＥＴＦ　トピックス,Ｏｎｅ・トピックス
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,Ｏｎｅ・ＪＰＸ４００
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ｉＳＴＯＰＩＸ
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ｉＳＪリート
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ｉＳＭＳＣＩ最小分散
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ｉＳＭＳＣＩ高配当
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,ｉＦＭＳＣＩ人材設備
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ＮＦ企業価値
1481,上場インデックスファンド日本経済貢献株,上場日本経済貢献
1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ｉＳ米国債七十円へジ
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ｉＳ設備人材
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,Ｏｎｅ・設備人材投資
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ＭＸＳ　Ｊ積極投資
1486,上場インデックスファンド米国債券（為替ヘッジなし）,上場米債ヘッジなし
1487,上場インデックスファンド米国債券（為替ヘッジあり）,上場米債ヘッジあり
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,ｉＦＪリート
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ＮＦ日経高配当５０
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,上場ベータヘッジ
1491,中外鉱業,中外鉱
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,Ｏｎｅ・中小型
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,Ｏｎｅ・高配当日本株
1495,上場インデックスファンドアジアリート,上場アジアリート
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ｉＳ米＄ＩＧ社債ヘジ
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ｉＳ米＄ＨＹ社債ヘジ
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,Ｏｎｅ・ＥＳＧ
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ＭＸＳ高配当７０ＭＮ
1514,住石ホールディングス,住石ＨＤ
1515,日鉄鉱業,日鉄鉱
1518,三井松島ホールディングス,三井松島ＨＤ
1540,純金上場信託（現物国内保管型）,純金信託
1541,純プラチナ上場信託（現物国内保管型）,純プラ信
1542,純銀上場信託（現物国内保管型）,純銀信託
1543,純パラジウム上場信託（現物国内保管型）,純パラ信
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,ナスダックヘッジ無
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,ダウヘッジ無
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,上場米国
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ＭＸＳ外株
1551,東証スタンダードＴＯＰ２０ＥＴＦ,スタンダドＴＯＰ２０
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,上場ＭＳ世
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,上場Ａリート
1557,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,ＳＰＤＲ５００
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ＮＦタイ株
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ＮＦマレーシア株
1563,東証グロース・コアＥＴＦ,東証グロース・コア
1566,上場インデックスファンド新興国債券,上場ＥＭ債
1568,ＴＯＰＩＸブル２倍上場投信,ＴＰレバレッジダブル
1569,ＴＯＰＩＸベア上場投信,トピックスインバース
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ＮＦ日経レバ
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ＮＦ日経インバ
1572,中国Ｈ株ブル２倍上場投信,Ｈ株レバレッジダブル
1573,中国Ｈ株ベア上場投信,Ｈ株インバース
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ＮＦ日本高配当７０
1578,上場インデックスファンド日経２２５（ミニ）,上場２２５Ｍ
1579,日経平均ブル２倍上場投信,日経レバレッジダブル
1580,日経平均ベア上場投信,２２５インバース
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ｉＦＥＸ－Ｆ
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,上場ＴＰＸ除く金融
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ＮＦＪＰＸ４００
1592,上場インデックスファンドＪＰＸ日経インデックス４００,上場ＪＰＸ日経４００
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ＭＸＳ４００
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ＮＺＡＭ　Ｊリート
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ＮＺＡＭ　Ｅｘ―Ｆ
1597,ＭＡＸＩＳ　Ｊリート上場投信,ＭＸＳ　Ｊリート
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,ｉＦＪＰＸ日経４００
1605,ＩＮＰＥＸ,ＩＮＰＥＸ
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ＮＦ銀行業
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ＮＦ食品Ｔ１７
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ＮＦエネ資源Ｔ１７
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ＮＦ建設資材Ｔ１７
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ＮＦ素材化学Ｔ１７
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ＮＦ医薬品Ｔ１７
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,ＮＦ自動車Ｔ１７
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,ＮＦ鉄鋼非鉄Ｔ１７
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ＮＦ機械Ｔ１７
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,ＮＦ電機精密Ｔ１７
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,ＮＦ情通・他Ｔ１７
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,ＮＦ電力ガスＴ１７
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,ＮＦ運輸物流Ｔ１７
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,ＮＦ商社卸売Ｔ１７
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ＮＦ小売Ｔ１７
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ＮＦ銀行Ｔ１７
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ＮＦ金融Ｔ１７
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ＮＦ不動産Ｔ１７
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,ｉＦ高配当４０
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ｉＦ女性活躍ＷＩＮ
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ｉＦＥＳＧセレクト
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ｉＦブロッサム
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ｉＳＳＰ５００米国株
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ｉＳ米国債七十
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,ｉＳＭＳＣＩ先進国株
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ｉＳＭＳＣＩ新興国株
1659,ｉシェアーズ　米国リート　ＥＴＦ,ｉＳ米国リート
1660,ＭＡＸＩＳ高利回りＪリート上場投信,ＭＸＳ高利Ｊリート
1662,石油資源開発,石油資源
1663,Ｋ＆Ｏエナジーグループ,Ｋ＆Ｏエナジー
1671,ＷＴＩ原油価格連動型上場投信,ＷＴＩ原油ＥＴＦ
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,金ＥＴＦ
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,銀ＥＴＦ
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,プラチナＥＴＦ
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,パラジＥＴＦ
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,キンゾクＥＴＦ
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,上場外債
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,ＮＦインド株
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,ＮＹダウ
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,上場ＭＳコク
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,上場ＭＳエマ
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,商品ＥＴＦ
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,エナジーＥＴＦ
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,メタルＥＴＦ
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,アグリＥＴＦ
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,穀物ＥＴＦ
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ガスＥＴＦ
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,原油ＥＴＦ
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ガソリンＥＴＦ
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,アルミＥＴＦ
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,銅ＥＴＦ
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ニッケルＥＴＦ
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,小麦ＥＴＦ
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,コーンＥＴＦ
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,大豆ＥＴＦ
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,上場配当
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,ＮＦ原油先物
1711,ＳＤＳホールディングス,ＳＤＳＨＤ
1712,ダイセキ環境ソリューション,ダイセキＳ
1716,第一カッター興業,第一カッター
1717,明豊ファシリティワークス,明豊ファシリティ
1718,美樹工業,美樹工業
1719,安藤・間,安藤ハザマ
1720,東急建設,東急建設
1721,コムシスホールディングス,コムシスＨＤ
1723,日本電技,日本電技
1724,シンクレイヤ,シンクレイヤ
1726,ビーアールホールディングス,Ｂｒ．ＨＤ
1736,オーテック,オーテック
1743,コーアツ工業,コーアツ工業
1757,創建エース,創建エース
1758,太洋基礎工業,太洋基礎
1762,高松コンストラクショングループ,高松Ｇ
1764,工藤建設,工藤建設
1766,東建コーポレーション,東建コーポ
1768,ソネック,ソネック
1770,藤田エンジニアリング,藤田エンジ
1773,ワイ・ティー・エル・コーポレーション・バーハッド,ＹＴＬ
1776,三井住建道路,三住道路
1780,ヤマウラ,ヤマウラ
1783,ｆａｎｔａｓｉｓｔａ,ｆａｎｔａｓｉｓｔａ
1786,オリエンタル白石,オリエンタル白石
1787,ナカボーテック,ナカボーテック
1788,三東工業社,三東工業
1793,大本組,大本組
1795,マサル,マサル
1798,守谷商会,守谷商会
1799,第一建設工業,第一建設
1801,大成建設,大成建
1802,大林組,大林組
1803,清水建設,清水建
1807,佐藤渡辺,佐藤渡辺
1808,長谷工コーポレーション,長谷工
1810,松井建設,松井建
1811,錢高組,銭高組
1812,鹿島建設,鹿島
1813,不動テトラ,不動テトラ
1814,大末建設,大末建
1815,鉄建建設,鉄建建設
1820,西松建設,西松建
1821,三井住友建設,三住建設
1822,大豊建設,大豊建
1826,佐田建設,佐田建
1827,ナカノフドー建設,ナカノフドー
1828,田辺工業,田辺工業
1833,奥村組,奥村組
1835,東鉄工業,東鉄工
1840,土屋ホールディングス,土屋ＨＤ
1841,サンユー建設,サンユー建設
1844,大盛工業,大盛工
1847,イチケン,イチケン
1848,富士ピー・エス,富士ピー・エス
1850,南海辰村建設,南海辰村建設
1852,淺沼組,浅沼組
1853,森組,森組
1860,戸田建設,戸田建
1861,熊谷組,熊谷組
1866,北野建設,北野建
1867,植木組,植木組
1870,矢作建設工業,矢作建
1871,ピーエス・コンストラクション,ピーエス
1873,日本ハウスホールディングス,日本ハウスＨＤ
1878,大東建託,大東建
1879,新日本建設,新日本建
1882,東亜道路工業,東亜道
1884,日本道路,日道路
1885,東亜建設工業,東亜建
1887,日本国土開発,日本国土開発
1888,若築建設,若築建
1890,東洋建設,東洋建
1893,五洋建設,五洋建
1897,金下建設,金下建設
1898,世紀東急工業,世紀東急
1899,福田組,福田組
1904,大成温調,大成温調
1905,テノックス,テノックス
1909,日本ドライケミカル,日本ドライケミカル
1911,住友林業,住友林
1914,日本基礎技術,日基礎
1921,巴コーポレーション,巴
1925,大和ハウス工業,大和ハウス
1926,ライト工業,ライト工
1928,積水ハウス,積水ハウス
1929,日特建設,日特建
1930,北陸電気工事,北陸電工
1934,ユアテック,ユアテック
1938,日本リーテック,日リーテック
1939,四電工,四電工
1941,中電工,中電工
1942,関電工,関電工
1944,きんでん,きんでん
1945,東京エネシス,東京エネシス
1946,トーエネック,トーエネック
1948,弘電社,弘電社
1949,住友電設,住友電設
1950,日本電設工業,日本電設
1951,エクシオグループ,エクシオグループ
1952,新日本空調,新日空調
1959,クラフティア,クラフティア
1960,サンテック,サンテック
1961,三機工業,三機工
1963,日揮ホールディングス,日揮ＨＤ
1964,中外炉工業,中外炉
1965,テクノ菱和,テクノ菱和
1966,高田工業所,高田工業所
1967,ヤマト,ヤマト
1968,太平電業,太平電
1969,高砂熱学工業,高砂熱
1972,三晃金属工業,三晃金
1975,朝日工業社,朝日工
1976,明星工業,明星工業
1979,大氣社,大気社
1980,ダイダン,ダイダン
1981,協和日成,協和日成
1982,日比谷総合設備,日比谷設
1992,神田通信機,神田通機
1994,高橋カーテンウォール工業,高橋ウォール
1997,暁飯島工業,暁飯島
2001,ニップン,ニップン
2002,日清製粉グループ本社,日清粉Ｇ
2003,日東富士製粉,日東富士
2004,昭和産業,昭和産
2009,鳥越製粉,鳥越粉
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,ＳＭＤＡＭ日本高配当
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,ハンセンブル
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,ハンセンベア
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,ＫＯＳＰＩブル
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,ＫＯＳＰＩベア
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,金先物ダブルブル
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,金先物ベア
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,ドバイ原油先物ブル
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,ドバイ原油先物ベア
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,ＮＹダウブルＥＴＮ
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,ＮＹダウベアＥＴＮ
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,グロース２５０ＥＴＮ
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,アセアン５０ＥＴＮ
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,米国配当貴族ＥＴＮ
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,シンガポールリート
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,インドブルＥＴＮ
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,インドベアＥＴＮ
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,高配株＄ヘッジＥＴＮ
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,ニッチトップ中小型
2053,中部飼料,中部飼料
2055,日和産業,日和産業
2060,フィード・ワン,フィード・ワン
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,日本株配当貴族ＥＴＮ
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ,東証リートＥＴＮ
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ,野村ＡＩ７０ＥＴＮ
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ,高ベータ３０ＥＴＮ
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ,低ベータ５０ＥＴＮ
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ,ＥＳＧ女性活躍ＥＴＮ
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ,ＥＳＧ総合ＥＴＮ
2072,トップシェアインデックス（ネットリターン）ＥＴＮ,トップシェアＥＴＮ
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ,ＥＳＧ低カーボン
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ,ＰＢＲ１倍割れ解消
2081,政策保有解消推進ＥＴＦ,政策保有解消
2082,投資家経営者一心同体ＥＴＦ,投資家経営者一心同体
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信,日本成長株アクティブ
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信,日本高配当アクティブ
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信,ＭＸ高配日株ア
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）,ＮＺＡＭ　ＳＰ５Ｈ
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）,ＮＺＡＭ　ＮＱ１Ｈ
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）,ＮＺＡＭ　ＤｏｗＨ
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）,ＮＺＡＭ　ＤＡＸＨ
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）,ＮＺＡＭ　米７１０Ｈ
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）,ＮＺＡＭ　独７１０Ｈ
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）,ＮＺＡＭ　仏７１０Ｈ
